lang_key,translation_key,translation_text,verified,translated
en,PAYMENT,Payment,FALSE,FALSE
en,SAVE,Save,FALSE,FALSE
arb,SAVE,حفظ,FALSE,FALSE
arb,PAYMENT,دفعة,FALSE,FALSE
en,WALLET_AVAILABLE,Wallet Available,FALSE,FALSE
arb,WALLET_AVAILABLE,رصيد المحفظة متاح,FALSE,FALSE
en,DEBIT,Debit,FALSE,FALSE
arb,DEBIT,مدين,FALSE,FALSE
en,OTHER_PAYER,Other Payer,FALSE,FALSE
arb,OTHER_PAYER,دافع آخر,FALSE,FALSE
en,MANUAL_ADJUSTMENT,Manual Adjustment,FALSE,FALSE
arb,MANUAL_ADJUSTMENT,تسوية يدوية,FALSE,FALSE
en,ACTIVE,Active,FALSE,FALSE
arb,ACTIVE,نشط,FALSE,FALSE
en,PARTIALLY_REVERSED,Partially Reversed,FALSE,FALSE
arb,PARTIALLY_REVERSED,معكوس جزئيًا,FALSE,FALSE
en,REVERSED,Reversed,FALSE,FALSE
arb,REVERSED,معكوس,FALSE,FALSE
en,SERVICE_DELETED,Service Deleted,FALSE,FALSE
arb,SERVICE_DELETED,الخدمة محذوفة,FALSE,FALSE
en,QUANTITY_ZERO,Quantity Zero,FALSE,FALSE
arb,QUANTITY_ZERO,الكمية صفر,FALSE,FALSE
en,SERVICE_CANCELLED,Service Cancelled,FALSE,FALSE
arb,SERVICE_CANCELLED,الخدمة ملغاة,FALSE,FALSE
en,ORDER_CANCELLED,Order Cancelled,FALSE,FALSE
arb,ORDER_CANCELLED,الطلب ملغى,FALSE,FALSE
en,ENCOUNTER_CANCELLED,Encounter Cancelled,FALSE,FALSE
arb,ENCOUNTER_CANCELLED,الزيارة ملغاة,FALSE,FALSE
en,DUPLICATE_ENTRY,Duplicate Entry,FALSE,FALSE
arb,DUPLICATE_ENTRY,إدخال مكرر,FALSE,FALSE
en,CLINICAL_DECISION,Clinical Decision,FALSE,FALSE
arb,CLINICAL_DECISION,قرار سريري,FALSE,FALSE
en,MANUAL_CANCELLATION,Manual Cancellation,FALSE,FALSE
arb,MANUAL_CANCELLATION,إلغاء يدوي,FALSE,FALSE
en,DRAFT,Draft,FALSE,FALSE
arb,DRAFT,مسودة,FALSE,FALSE
en,OPEN,Open,FALSE,FALSE
arb,OPEN,مفتوح,FALSE,FALSE
en,RESERVED,Reserved,FALSE,FALSE
arb,RESERVED,محجوز,FALSE,FALSE
en,PARTIALLY_ALLOCATED,Partially Allocated,FALSE,FALSE
arb,PARTIALLY_ALLOCATED,مخصص جزئيًا,FALSE,FALSE
en,ALLOCATED,Allocated,FALSE,FALSE
arb,ALLOCATED,مخصص,FALSE,FALSE
en,CLOSED,Closed,FALSE,FALSE
arb,CLOSED,مغلق,FALSE,FALSE
en,FULLY_ALLOCATED,Fully Allocated,FALSE,FALSE
arb,FULLY_ALLOCATED,مخصص بالكامل,FALSE,FALSE
en,DIRECT,Direct,FALSE,FALSE
arb,DIRECT,مباشر,FALSE,FALSE
en,ADJUSTMENT,Adjustment,FALSE,FALSE
arb,ADJUSTMENT,تسوية,FALSE,FALSE
en,REVERSAL,Reversal,FALSE,FALSE
arb,REVERSAL,عكس القيد,FALSE,FALSE
en,SELF_PAY,Self Pay,FALSE,FALSE
arb,SELF_PAY,دفع ذاتي,FALSE,FALSE
en,INACTIVE,Inactive,FALSE,FALSE
arb,INACTIVE,غير نشط,FALSE,FALSE
en,BLOCKED,Blocked,FALSE,FALSE
arb,BLOCKED,محظور,FALSE,FALSE
en,EXPIRED,Expired,FALSE,FALSE
arb,EXPIRED,منتهي الصلاحية,FALSE,FALSE
en,PENDING,Pending,FALSE,FALSE
arb,PENDING,قيد الانتظار,FALSE,FALSE
en,FAILED,Failed,FALSE,FALSE
arb,FAILED,فشل,FALSE,FALSE
en,DEBIT_CREATED,Debit Created,FALSE,FALSE
arb,DEBIT_CREATED,تم إنشاء القيد المدين,FALSE,FALSE
en,DEBIT_SETTLEMENT,Debit Settlement,FALSE,FALSE
arb,DEBIT_SETTLEMENT,تسوية القيد المدين,FALSE,FALSE
en,PARTIAL_SETTLEMENT,Partial Settlement,FALSE,FALSE
arb,PARTIAL_SETTLEMENT,تسوية جزئية,FALSE,FALSE
en,DEBIT_REVERSAL,Debit Reversal,FALSE,FALSE
arb,DEBIT_REVERSAL,عكس القيد المدين,FALSE,FALSE
en,SETTLEMENT_REVERSAL,Settlement Reversal,FALSE,FALSE
arb,SETTLEMENT_REVERSAL,عكس التسوية,FALSE,FALSE
en,WRITE_OFF,Write Off,FALSE,FALSE
arb,WRITE_OFF,شطب,FALSE,FALSE
en,ENCOUNTER_CREATED,Encounter Created,FALSE,FALSE
arb,ENCOUNTER_CREATED,تم إنشاء الزيارة,FALSE,FALSE
en,TREATMENT_STARTED,Treatment Started,FALSE,FALSE
arb,TREATMENT_STARTED,بدأ العلاج,FALSE,FALSE
en,ITEM_ORDERED,Item Ordered,FALSE,FALSE
arb,ITEM_ORDERED,تم طلب الصنف,FALSE,FALSE
en,ITEM_DISPENSED,Item Dispensed,FALSE,FALSE
arb,ITEM_DISPENSED,تم صرف الصنف,FALSE,FALSE
en,SERVICE_COMPLETED,Service Completed,FALSE,FALSE
arb,SERVICE_COMPLETED,اكتملت الخدمة,FALSE,FALSE
en,ITEM_UPDATED,Item Updated,FALSE,FALSE
arb,ITEM_UPDATED,تم تحديث الصنف,FALSE,FALSE
en,ITEM_CANCELLED,Item Cancelled,FALSE,FALSE
arb,ITEM_CANCELLED,تم إلغاء الصنف,FALSE,FALSE
en,CHECKOUT,Checkout,FALSE,FALSE
arb,CHECKOUT,إتمام الخروج,FALSE,FALSE
en,MANUAL,Manual,FALSE,FALSE
arb,MANUAL,يدوي,FALSE,FALSE
en,PAID,Paid,FALSE,FALSE
arb,PAID,مدفوع,FALSE,FALSE
en,PARTIAL,Partial,FALSE,FALSE
arb,PARTIAL,جزئي,FALSE,FALSE
en,PATHOLOGY,Pathology,FALSE,FALSE
arb,PATHOLOGY,علم الأمراض,FALSE,FALSE
en,SERVICE,Service,FALSE,FALSE
arb,SERVICE,خدمة,FALSE,FALSE
en,BUSINESS,Business,FALSE,FALSE
arb,BUSINESS,تجاري,FALSE,FALSE
en,CREDIT,Credit,FALSE,FALSE
arb,CREDIT,دائن,FALSE,FALSE
en,WALLET,Wallet,FALSE,FALSE
arb,WALLET,محفظة,FALSE,FALSE
en,CHARGE,Charge,FALSE,FALSE
arb,CHARGE,رسوم,FALSE,FALSE
